"";"index";"rule";"n";"value"
"1";-500;"XSS through DOM";16;0,4
"2";-500;"Unsafe jQuery plugin";9;0,225
"3";-500;"HTML constructed from input";1;0,025
"4";-500;"XSS";4;0,1
"5";-500;"Reflected XSS";0;0
"6";-500;"XSS through Exception";0;0
"7";-500;"Stored XSS";10;0,25
"8";-499;"XSS through DOM";16;0,4
"9";-499;"Unsafe jQuery plugin";9;0,225
"10";-499;"HTML constructed from input";1;0,025
"11";-499;"XSS";4;0,1
"12";-499;"Reflected XSS";0;0
"13";-499;"XSS through Exception";0;0
"14";-499;"Stored XSS";10;0,25
"15";-498;"XSS through DOM";16;0,4
"16";-498;"Unsafe jQuery plugin";9;0,225
"17";-498;"HTML constructed from input";1;0,025
"18";-498;"XSS";4;0,1
"19";-498;"Reflected XSS";0;0
"20";-498;"XSS through Exception";0;0
"21";-498;"Stored XSS";10;0,25
"22";-497;"XSS through DOM";16;0,4
"23";-497;"Unsafe jQuery plugin";9;0,225
"24";-497;"HTML constructed from input";1;0,025
"25";-497;"XSS";4;0,1
"26";-497;"Reflected XSS";0;0
"27";-497;"XSS through Exception";0;0
"28";-497;"Stored XSS";10;0,25
"29";-496;"XSS through DOM";16;0,4
"30";-496;"Unsafe jQuery plugin";9;0,225
"31";-496;"HTML constructed from input";1;0,025
"32";-496;"XSS";4;0,1
"33";-496;"Reflected XSS";0;0
"34";-496;"XSS through Exception";0;0
"35";-496;"Stored XSS";10;0,25
"36";-495;"XSS through DOM";16;0,4
"37";-495;"Unsafe jQuery plugin";9;0,225
"38";-495;"HTML constructed from input";1;0,025
"39";-495;"XSS";4;0,1
"40";-495;"Reflected XSS";0;0
"41";-495;"XSS through Exception";0;0
"42";-495;"Stored XSS";10;0,25
"43";-494;"XSS through DOM";16;0,4
"44";-494;"Unsafe jQuery plugin";9;0,225
"45";-494;"HTML constructed from input";1;0,025
"46";-494;"XSS";4;0,1
"47";-494;"Reflected XSS";0;0
"48";-494;"XSS through Exception";0;0
"49";-494;"Stored XSS";10;0,25
"50";-493;"XSS through DOM";16;0,4
"51";-493;"Unsafe jQuery plugin";9;0,225
"52";-493;"HTML constructed from input";1;0,025
"53";-493;"XSS";4;0,1
"54";-493;"Reflected XSS";0;0
"55";-493;"XSS through Exception";0;0
"56";-493;"Stored XSS";10;0,25
"57";-492;"XSS through DOM";16;0,4
"58";-492;"Unsafe jQuery plugin";9;0,225
"59";-492;"HTML constructed from input";1;0,025
"60";-492;"XSS";4;0,1
"61";-492;"Reflected XSS";0;0
"62";-492;"XSS through Exception";0;0
"63";-492;"Stored XSS";10;0,25
"64";-491;"XSS through DOM";16;0,4
"65";-491;"Unsafe jQuery plugin";9;0,225
"66";-491;"HTML constructed from input";1;0,025
"67";-491;"XSS";4;0,1
"68";-491;"Reflected XSS";0;0
"69";-491;"XSS through Exception";0;0
"70";-491;"Stored XSS";10;0,25
"71";-490;"XSS through DOM";16;0,4
"72";-490;"Unsafe jQuery plugin";9;0,225
"73";-490;"HTML constructed from input";1;0,025
"74";-490;"XSS";4;0,1
"75";-490;"Reflected XSS";0;0
"76";-490;"XSS through Exception";0;0
"77";-490;"Stored XSS";10;0,25
"78";-489;"XSS through DOM";16;0,4
"79";-489;"Unsafe jQuery plugin";9;0,225
"80";-489;"HTML constructed from input";1;0,025
"81";-489;"XSS";4;0,1
"82";-489;"Reflected XSS";0;0
"83";-489;"XSS through Exception";0;0
"84";-489;"Stored XSS";10;0,25
"85";-488;"XSS through DOM";16;0,4
"86";-488;"Unsafe jQuery plugin";9;0,225
"87";-488;"HTML constructed from input";1;0,025
"88";-488;"XSS";4;0,1
"89";-488;"Reflected XSS";0;0
"90";-488;"XSS through Exception";0;0
"91";-488;"Stored XSS";10;0,25
"92";-487;"XSS through DOM";16;0,4
"93";-487;"Unsafe jQuery plugin";9;0,225
"94";-487;"HTML constructed from input";1;0,025
"95";-487;"XSS";4;0,1
"96";-487;"Reflected XSS";0;0
"97";-487;"XSS through Exception";0;0
"98";-487;"Stored XSS";10;0,25
"99";-486;"XSS through DOM";16;0,4
"100";-486;"Unsafe jQuery plugin";9;0,225
"101";-486;"HTML constructed from input";1;0,025
"102";-486;"XSS";4;0,1
"103";-486;"Reflected XSS";0;0
"104";-486;"XSS through Exception";0;0
"105";-486;"Stored XSS";10;0,25
"106";-485;"XSS through DOM";16;0,4
"107";-485;"Unsafe jQuery plugin";9;0,225
"108";-485;"HTML constructed from input";1;0,025
"109";-485;"XSS";4;0,1
"110";-485;"Reflected XSS";0;0
"111";-485;"XSS through Exception";0;0
"112";-485;"Stored XSS";10;0,25
"113";-484;"XSS through DOM";16;0,4
"114";-484;"Unsafe jQuery plugin";9;0,225
"115";-484;"HTML constructed from input";1;0,025
"116";-484;"XSS";4;0,1
"117";-484;"Reflected XSS";0;0
"118";-484;"XSS through Exception";0;0
"119";-484;"Stored XSS";10;0,25
"120";-483;"XSS through DOM";16;0,4
"121";-483;"Unsafe jQuery plugin";9;0,225
"122";-483;"HTML constructed from input";1;0,025
"123";-483;"XSS";4;0,1
"124";-483;"Reflected XSS";0;0
"125";-483;"XSS through Exception";0;0
"126";-483;"Stored XSS";10;0,25
"127";-482;"XSS through DOM";16;0,4
"128";-482;"Unsafe jQuery plugin";9;0,225
"129";-482;"HTML constructed from input";1;0,025
"130";-482;"XSS";4;0,1
"131";-482;"Reflected XSS";0;0
"132";-482;"XSS through Exception";0;0
"133";-482;"Stored XSS";10;0,25
"134";-481;"XSS through DOM";16;0,4
"135";-481;"Unsafe jQuery plugin";9;0,225
"136";-481;"HTML constructed from input";1;0,025
"137";-481;"XSS";4;0,1
"138";-481;"Reflected XSS";0;0
"139";-481;"XSS through Exception";0;0
"140";-481;"Stored XSS";10;0,25
"141";-480;"XSS through DOM";16;0,4
"142";-480;"Unsafe jQuery plugin";9;0,225
"143";-480;"HTML constructed from input";1;0,025
"144";-480;"XSS";4;0,1
"145";-480;"Reflected XSS";0;0
"146";-480;"XSS through Exception";0;0
"147";-480;"Stored XSS";10;0,25
"148";-479;"XSS through DOM";16;0,4
