"";"index";"rule";"n";"value"
"1";-500;"XSS through DOM";1;1
"2";-500;"Unsafe jQuery plugin";0;0
"3";-500;"HTML constructed from input";0;0
"4";-500;"XSS";0;0
"5";-500;"Reflected XSS";0;0
"6";-500;"XSS through Exception";0;0
"7";-500;"Stored XSS";0;0
"8";-499;"XSS through DOM";1;1
"9";-499;"Unsafe jQuery plugin";0;0
"10";-499;"HTML constructed from input";0;0
"11";-499;"XSS";0;0
"12";-499;"Reflected XSS";0;0
"13";-499;"XSS through Exception";0;0
"14";-499;"Stored XSS";0;0
"15";-498;"XSS through DOM";1;1
"16";-498;"Unsafe jQuery plugin";0;0
"17";-498;"HTML constructed from input";0;0
"18";-498;"XSS";0;0
"19";-498;"Reflected XSS";0;0
"20";-498;"XSS through Exception";0;0
"21";-498;"Stored XSS";0;0
"22";-497;"XSS through DOM";1;1
"23";-497;"Unsafe jQuery plugin";0;0
"24";-497;"HTML constructed from input";0;0
"25";-497;"XSS";0;0
"26";-497;"Reflected XSS";0;0
"27";-497;"XSS through Exception";0;0
"28";-497;"Stored XSS";0;0
"29";-496;"XSS through DOM";1;1
"30";-496;"Unsafe jQuery plugin";0;0
"31";-496;"HTML constructed from input";0;0
"32";-496;"XSS";0;0
"33";-496;"Reflected XSS";0;0
"34";-496;"XSS through Exception";0;0
"35";-496;"Stored XSS";0;0
"36";-495;"XSS through DOM";1;1
"37";-495;"Unsafe jQuery plugin";0;0
"38";-495;"HTML constructed from input";0;0
"39";-495;"XSS";0;0
"40";-495;"Reflected XSS";0;0
"41";-495;"XSS through Exception";0;0
"42";-495;"Stored XSS";0;0
"43";-494;"XSS through DOM";1;1
"44";-494;"Unsafe jQuery plugin";0;0
"45";-494;"HTML constructed from input";0;0
"46";-494;"XSS";0;0
"47";-494;"Reflected XSS";0;0
"48";-494;"XSS through Exception";0;0
"49";-494;"Stored XSS";0;0
"50";-493;"XSS through DOM";1;1
"51";-493;"Unsafe jQuery plugin";0;0
"52";-493;"HTML constructed from input";0;0
"53";-493;"XSS";0;0
"54";-493;"Reflected XSS";0;0
"55";-493;"XSS through Exception";0;0
"56";-493;"Stored XSS";0;0
"57";-492;"XSS through DOM";1;1
"58";-492;"Unsafe jQuery plugin";0;0
"59";-492;"HTML constructed from input";0;0
"60";-492;"XSS";0;0
"61";-492;"Reflected XSS";0;0
"62";-492;"XSS through Exception";0;0
"63";-492;"Stored XSS";0;0
"64";-491;"XSS through DOM";1;1
"65";-491;"Unsafe jQuery plugin";0;0
"66";-491;"HTML constructed from input";0;0
"67";-491;"XSS";0;0
"68";-491;"Reflected XSS";0;0
"69";-491;"XSS through Exception";0;0
"70";-491;"Stored XSS";0;0
"71";-490;"XSS through DOM";1;1
"72";-490;"Unsafe jQuery plugin";0;0
"73";-490;"HTML constructed from input";0;0
"74";-490;"XSS";0;0
"75";-490;"Reflected XSS";0;0
"76";-490;"XSS through Exception";0;0
"77";-490;"Stored XSS";0;0
"78";-489;"XSS through DOM";1;1
"79";-489;"Unsafe jQuery plugin";0;0
"80";-489;"HTML constructed from input";0;0
"81";-489;"XSS";0;0
"82";-489;"Reflected XSS";0;0
"83";-489;"XSS through Exception";0;0
"84";-489;"Stored XSS";0;0
"85";-488;"XSS through DOM";1;1
"86";-488;"Unsafe jQuery plugin";0;0
"87";-488;"HTML constructed from input";0;0
"88";-488;"XSS";0;0
"89";-488;"Reflected XSS";0;0
"90";-488;"XSS through Exception";0;0
"91";-488;"Stored XSS";0;0
"92";-487;"XSS through DOM";1;1
"93";-487;"Unsafe jQuery plugin";0;0
"94";-487;"HTML constructed from input";0;0
"95";-487;"XSS";0;0
"96";-487;"Reflected XSS";0;0
"97";-487;"XSS through Exception";0;0
"98";-487;"Stored XSS";0;0
"99";-486;"XSS through DOM";1;1
"100";-486;"Unsafe jQuery plugin";0;0
"101";-486;"HTML constructed from input";0;0
"102";-486;"XSS";0;0
"103";-486;"Reflected XSS";0;0
"104";-486;"XSS through Exception";0;0
"105";-486;"Stored XSS";0;0
"106";-485;"XSS through DOM";1;1
"107";-485;"Unsafe jQuery plugin";0;0
"108";-485;"HTML constructed from input";0;0
"109";-485;"XSS";0;0
"110";-485;"Reflected XSS";0;0
"111";-485;"XSS through Exception";0;0
"112";-485;"Stored XSS";0;0
"113";-484;"XSS through DOM";1;1
"114";-484;"Unsafe jQuery plugin";0;0
"115";-484;"HTML constructed from input";0;0
