"";"index";"rule";"n";"value"
"1";-500;"XSS through DOM";0,761094116806885;0,455650554035594
"2";-500;"Unsafe jQuery plugin";0,551842725688351;0,330376280866996
"3";-500;"HTML constructed from input";0,231244952220454;0,138441341577101
"4";-500;"XSS";0,0921615816417703;0,0551751416921338
"5";-500;"Reflected XSS";0,0211899978896081;0,0126859925273379
"6";-500;"XSS through Exception";0,00959404794655403;0,00574374859266006
"7";-500;"Stored XSS";0,00321865785839585;0,00192694070817684
"8";-499;"XSS through DOM";0,761190312293418;0,455659620009141
"9";-499;"Unsafe jQuery plugin";0,551856844382128;0,330349553783697
"10";-499;"HTML constructed from input";0,231262279936693;0,138436972852305
"11";-499;"XSS";0,0921807125598534;0,0551807186439909
"12";-499;"Reflected XSS";0,0212122015270806;0,0126979331335224
"13";-499;"XSS through Exception";0,00960288361681442;0,00574842615461844
"14";-499;"Stored XSS";0,00321872450693411;0,0019267754227255
"15";-498;"XSS through DOM";0,761286507779951;0,455673046761341
"16";-498;"Unsafe jQuery plugin";0,551870963075905;0,330325995001872
"17";-498;"HTML constructed from input";0,23126361200375;0,13842435615218
"18";-498;"XSS";0,0921998434779365;0,0551868227784931
"19";-498;"Reflected XSS";0,0212344051645531;0,0127099928852194
"20";-498;"XSS through Exception";0,0096117192870748;0,00575315780247887
"21";-498;"Stored XSS";0,00321879115547238;0,00192662861841564
"22";-497;"XSS through DOM";0,761401820017948;0,455685457415085
"23";-497;"Unsafe jQuery plugin";0,551904198521145;0,330304854204953
"24";-497;"HTML constructed from input";0,23127313696429;0,138412862216313
"25";-497;"XSS";0,0922182157947711;0,0551909632228785
"26";-497;"Reflected XSS";0,0212566088020257;0,0127217025890696
"27";-497;"XSS through Exception";0,00962055495733518;0,00575773116252455
"28";-497;"Stored XSS";0,00321885780401064;0,00192642918917653
"29";-496;"XSS through DOM";0,761517132255944;0,455697284189658
"30";-496;"Unsafe jQuery plugin";0,551939563821847;0,330284572226677
"31";-496;"HTML constructed from input";0,231282661924831;0,13840119474013
"32";-496;"XSS";0,0922365881116056;0,0551950322914756
"33";-496;"Reflected XSS";0,0212788124394982;0,0127333931552329
"34";-496;"XSS through Exception";0,00962939062759557;0,00576229604237166
"35";-496;"Stored XSS";0,00321892445254891;0,00192622735445591
"36";-495;"XSS through DOM";0,761631313488443;0,455711287690128
"37";-495;"Unsafe jQuery plugin";0,551974929122549;0,330266365455733
"38";-495;"HTML constructed from input";0,231292186885371;0,138390397626157
"39";-495;"XSS";0,092245615601812;0,0551938549862527
"40";-495;"Reflected XSS";0,0213010160769708;0,0127451606750302
"41";-495;"XSS through Exception";0,00963822629785595;0,00576689592386545
"42";-495;"Stored XSS";0,00321899110108717;0,00192603764283355
"43";-494;"XSS through DOM";0,761764156311655;0,455731364376583
"44";-494;"Unsafe jQuery plugin";0,552010294423251;0,330244475987795
"45";-494;"HTML constructed from input";0,231301711845912;0,13837805815459
"46";-494;"XSS";0,0922546430920183;0,0551920617661607
"47";-494;"Reflected XSS";0,0213232197144433;0,012756782966025
"48";-494;"XSS through Exception";0,00964706196811634;0,00577143027343545
"49";-494;"Stored XSS";0,00321905774962544;0,00192582647541061
"50";-493;"XSS through DOM";0,761814289924456;0,455731291241783
"51";-493;"Unsafe jQuery plugin";0,552045659723953;0,330243846378055
"52";-493;"HTML constructed from input";0,231311236806452;0,138374627547341
"53";-493;"XSS";0,0922387884612727;0,0551789362893179
"54";-493;"Reflected XSS";0,0213454233519158;0,012769224041775
"55";-493;"XSS through Exception";0,00965589763837672;0,00577633520010799
"56";-493;"Stored XSS";0,0032191243981637;0,00192573930161976
"57";-492;"XSS through DOM";0,761960397432357;0,455766278113138
"58";-492;"Unsafe jQuery plugin";0,552081025024655;0,330227023399481
"59";-492;"HTML constructed from input";0,231320761766993;0,138364412371179
"60";-492;"XSS";0,092222933830527;0,0551631074925319
"61";-492;"Reflected XSS";0,0213536307963529;0,0127726649115249
"62";-492;"XSS through Exception";0,00966473330863711;0,00578095599702693
"63";-492;"Stored XSS";0,00321919104670196;0,00192555771511831
"64";-491;"XSS through DOM";0,761999544134608;0,455903805255111
"65";-491;"Unsafe jQuery plugin";0,551796477341689;0,330139454390543
"66";-491;"HTML constructed from input";0,231218317183249;0,138337760776803
"67";-491;"XSS";0,0921432145070957;0,0551292221177524
"68";-491;"Reflected XSS";0,0213538404161982;0,0127759880927638
"69";-491;"XSS through Exception";0,00967356897889749;0,00578768969328687
"70";-491;"Stored XSS";0,00321925769524023;0,00192607967374001
"71";-490;"XSS through DOM";0,762035782537007;0,456041645123893
"72";-490;"Unsafe jQuery plugin";0,551511929658722;0,330053277642251
"73";-490;"HTML constructed from input";0,231115872599506;0,13831169765234
"74";-490;"XSS";0,0920591327338871;0,0550929487863018
"75";-490;"Reflected XSS";0,0213540500360436;0,012779368543658
"76";-490;"XSS through Exception";0,00968240464915788;0,00579445197475718
"77";-490;"Stored XSS";0,00321932434377849;0,00192661027679871
"78";-489;"XSS through DOM";0,762075837566746;0,456180797683103
"79";-489;"Unsafe jQuery plugin";0,551234100148413;0,329970324631643
