"";"index";"rule";"n";"value"
"1";-500;"XSS through DOM";0,761040604457642;0,455577564692
"2";-500;"Unsafe jQuery plugin";0,551966332525777;0,330420579521212
"3";-500;"HTML constructed from input";0,231296748603525;0,138459904547493
"4";-500;"XSS";0,0921822248451843;0,0551825398761582
"5";-500;"Reflected XSS";0,0211947442213114;0,0126876935344286
"6";-500;"XSS through Exception";0,00959619691014381;0,0057445187458083
"7";-500;"Stored XSS";0,00321937880315078;0,00192719908290006
"8";-499;"XSS through DOM";0,76113682149093;0,455586639654039
"9";-499;"Unsafe jQuery plugin";0,55198045438199;0,330393844136993
"10";-499;"HTML constructed from input";0,231314080200987;0,138455533260111
"11";-499;"XSS";0,0922013600483874;0,0551881167878534
"12";-499;"Reflected XSS";0,02121695283216;0,0126996355603553
"13";-499;"XSS through Exception";0,00960503455949933;0,00574919685287537
"14";-499;"Stored XSS";0,0032194454666176;0,00192703374777306
"15";-498;"XSS through DOM";0,761233038524218;0,455600075278673
"16";-498;"Unsafe jQuery plugin";0,551994576238202;0,330370277904778
"17";-498;"HTML constructed from input";0,231315412566411;0,13844291306994
"18";-498;"XSS";0,0922204952515904;0,0551942210237167
"19";-498;"Reflected XSS";0,0212391614430086;0,0127116967637799
"20";-498;"XSS through Exception";0,00961387220885486;0,00575392906036417
"21";-498;"Stored XSS";0,00321951213008442;0,00192688689874881
"22";-497;"XSS through DOM";0,761348376590916;0,455612496661367
"23";-497;"Unsafe jQuery plugin";0,552027819127825;0,330349128772751
"24";-497;"HTML constructed from input";0,231324939660441;0,138431415288042
"25";-497;"XSS";0,0922388716836264;0,0551983611039934
"26";-497;"Reflected XSS";0,0212613700538573;0,0127234078255401
"27";-497;"XSS through Exception";0,00962270985821038;0,00575850293761498
"28";-497;"Stored XSS";0,00321957879355124;0,00192668741069116
"29";-496;"XSS through DOM";0,761463714657614;0,455624334176959
"30";-496;"Unsafe jQuery plugin";0,552063192349974;0,330328838520117
"31";-496;"HTML constructed from input";0,23133446675447;0,138419743919879
"32";-496;"XSS";0,0922572481156624;0,0552024297895766
"33";-496;"Reflected XSS";0,0212835786647059;0,0127350997445359
