gid,before,after,change,change_percentage
206452,4.0,4.0,0.0,0.0
461209,0.0,0.0,0.0,0.0
888427,21.0,21.0,0.0,0.0
930164,0.0,0.0,0.0,0.0
997085,0.0,0.0,0.0,0.0
1095380,2.0,2.0,0.0,0.0
1444509,0.0,0.0,0.0,0.0
2113067,0.0,0.0,0.0,0.0
2245032,0.0,0.0,0.0,0.0
2855738,0.0,0.0,0.0,0.0
2885533,0.0,0.0,0.0,0.0
3557653,0.0,0.0,0.0,0.0
4259466,0.0,0.0,0.0,0.0
4357484,0.0,0.0,0.0,0.0
5931298,7.0,7.0,0.0,0.0
7070674,0.0,0.0,0.0,0.0
7481569,5.0,5.0,0.0,0.0
8083731,2.4444444444444446,0.0,-2.4444444444444446,-1.0
8933498,0.0,0.0,0.0,0.0
9395939,2.0,2.0,0.0,0.0
9972351,4.0,0.2222222222222222,-3.7777777777777777,-0.9444444444444444
10240326,0.0,0.0,0.0,0.0
10318197,0.0,0.0,0.0,0.0
11133793,48.87777777777778,0.0,-48.87777777777778,-1.0
11309292,0.0,0.0,0.0,0.0
13872961,0.0,0.0,0.0,0.0
14374533,0.0,0.0,0.0,0.0
18476421,0.0,0.0,0.0,0.0
18591532,0.0,0.0,0.0,0.0
18657564,0.0,0.0,0.0,0.0
19343023,0.0,0.0,0.0,0.0
21611548,0.0,0.0,0.0,0.0
22064355,0.0,0.0,0.0,0.0
22228279,8.0,8.0,0.0,0.0
22786524,14.0,7.466666666666667,-6.533333333333333,-0.4666666666666667
25943490,10.8,0.0,-10.8,-1.0
29287945,1.9777777777777779,0.0,-1.9777777777777779,-1.0
30924242,0.0,0.0,0.0,0.0
31211061,13.0,11.516666666666667,-1.4833333333333325,-0.11410256410256404
31395764,14.133333333333333,0.3555555555555555,-13.777777777777777,-0.9748427672955975
31411004,1.0,0.5555555555555556,-0.4444444444444444,-0.4444444444444444
31425145,0.0,0.0,0.0,0.0
33565372,14.0,14.0,0.0,0.0
35663260,7.0,5.7555555555555555,-1.2444444444444445,-0.17777777777777778
37553244,0.0,0.0,0.0,0.0
37779708,2.8833333333333333,0.06666666666666667,-2.8166666666666664,-0.9768786127167629
38645238,0.03225806451612903,0.0,-0.03225806451612903,-1.0
41896643,15.0,8.5,-6.5,-0.43333333333333335
42981718,1.3981762917933125,0.0,-1.3981762917933125,-1.0
45130416,1.0927419354838712,1.0,-0.09274193548387122,-0.0848708487084873
45565285,0.0,0.0,0.0,0.0
47570190,1.0,1.0,0.0,0.0
47950036,0.0,0.0,0.0,0.0
49017794,0.0,0.0,0.0,0.0
49862045,0.0,0.0,0.0,0.0
50421953,2.0,1.0666666666666667,-0.9333333333333333,-0.4666666666666667
52724221,0.0,0.0,0.0,0.0
53664497,0.0,0.0,0.0,0.0
55246215,0.0,0.0,0.0,0.0
55594846,0.0,0.0,0.0,0.0
56695369,5.8515119916579765,1.5319148936170213,-4.319597098040955,-0.7382018705932847
57161614,0.0,0.0,0.0,0.0
57165232,0.0,0.0,0.0,0.0
58855779,0.0,0.0,0.0,0.0
59302870,0.0,0.0,0.0,0.0
59703501,0.0,0.0,0.0,0.0
62194504,0.0,0.0,0.0,0.0
