gid,before,after,change,change_percentage
206452,8.0,8.0,0.0,0.0
461209,5.0,5.0,0.0,0.0
888427,25.0,23.0,-2.0,-0.08
930164,0.0,0.0,0.0,0.0
997085,0.0,0.0,0.0,0.0
1095380,0.0,0.0,0.0,0.0
1444509,2.922222222222222,2.7452380952380953,-0.1769841269841268,-0.06056491037479625
2113067,2.9,0.0,-2.9,-1.0
2245032,1.7,0.0,-1.7,-1.0
2855738,0.9777777777777777,0.005555555555555556,-0.9722222222222222,-0.9943181818181819
2885533,0.0,0.0,0.0,0.0
3557653,2.0,2.0,0.0,0.0
4259466,3.0,3.0,0.0,0.0
4357484,0.0,0.0,0.0,0.0
5931298,4.0,4.0,0.0,0.0
7070674,4.0,4.0,0.0,0.0
7481569,0.0,0.0,0.0,0.0
8083731,0.6111111111111112,0.0,-0.6111111111111112,-1.0
8933498,3.0,3.0,0.0,0.0
9395939,1.0,1.0,0.0,0.0
9972351,1.0,0.05555555555555555,-0.9444444444444444,-0.9444444444444444
10240326,0.0,0.0,0.0,0.0
10318197,2.0,1.0222222222222221,-0.9777777777777779,-0.48888888888888893
11133793,0.9222222222222223,0.0,-0.9222222222222223,-1.0
11309292,3.0,3.0,0.0,0.0
13872961,0.0,0.0,0.0,0.0
14374533,0.0,0.0,0.0,0.0
18476421,4.4694960212201575,4.033333333333333,-0.43616268788682433,-0.09758654797230436
18591532,0.9504210310125283,0.0,-0.9504210310125283,-1.0
18657564,0.0,0.0,0.0,0.0
19343023,0.0,0.0,0.0,0.0
21611548,0.0,0.0,0.0,0.0
22064355,1.9019607843137263,1.0,-0.9019607843137263,-0.47422680412371154
22228279,37.0,37.0,0.0,0.0
22786524,22.0,11.733333333333333,-10.266666666666667,-0.46666666666666673
25943490,0.6,0.0,-0.6,-1.0
29287945,0.9888888888888889,0.0,-0.9888888888888889,-1.0
30924242,1.0,1.0,0.0,0.0
31211061,15.0,12.033333333333333,-2.966666666666667,-0.19777777777777777
31395764,13.723809523809523,4.266666666666667,-9.457142857142856,-0.6891047883414295
31411004,1.0,0.5555555555555556,-0.4444444444444444,-0.4444444444444444
31425145,4.0,4.0,0.0,0.0
33565372,12.0,12.0,0.0,0.0
35663260,9.0,7.876190476190477,-1.1238095238095234,-0.12486772486772482
37553244,4.366666666666666,1.2,-3.166666666666666,-0.7251908396946565
37779708,0.0,0.0,0.0,0.0
38645238,1.0,1.0,0.0,0.0
41896643,27.0,15.3,-11.7,-0.4333333333333333
42981718,0.1398176291793313,0.0,-0.1398176291793313,-1.0
45130416,1.0,1.0,0.0,0.0
45565285,0.0,0.0,0.0,0.0
47570190,0.0,0.0,0.0,0.0
47950036,0.0,0.0,0.0,0.0
49017794,0.8222222222222224,0.0,-0.8222222222222224,-1.0
49862045,3.0,3.0,0.0,0.0
50421953,0.0,0.0,0.0,0.0
52724221,0.0,0.0,0.0,0.0
53664497,0.0,0.0,0.0,0.0
55246215,0.11145090044172612,0.0,-0.11145090044172612,-1.0
55594846,1.9222222222222223,0.0,-1.9222222222222223,-1.0
56695369,5.9333333333333345,4.510638297872343,-1.4226950354609915,-0.23978006215634684
57161614,3.0,3.0,0.0,0.0
57165232,1.0,0.5666666666666667,-0.43333333333333335,-0.43333333333333335
58855779,0.0,0.0,0.0,0.0
59302870,0.0,0.0,0.0,0.0
59703501,0.0,0.0,0.0,0.0
62194504,0.0,0.0,0.0,0.0
66573638,29.0,29.0,0.0,0.0
67508428,17.0,16.155555555555555,-0.844444444444445,-0.04967320261437912
68106145,0.0,0.0,0.0,0.0
68568514,0.0,0.0,0.0,0.0
70956782,0.0,0.0,0.0,0.0
71752807,11.666666666666666,0.0,-11.666666666666666,-1.0
74392985,0.0,0.0,0.0,0.0
74428198,19.0,19.0,0.0,0.0
79558820,0.16666666666666666,0.0,-0.16666666666666666,-1.0
88264938,0.0,0.0,0.0,0.0
94698893,6.0,6.0,0.0,0.0
95679729,0.0,0.0,0.0,0.0
96767206,21.93333333333333,21.0,-0.93333333333333,-0.042553191489361555
99533003,2.0,2.0,0.0,0.0
100618359,2.0,2.0,0.0,0.0
101082324,6.0,6.0,0.0,0.0
104122786,14.0,14.0,0.0,0.0
104767104,0.0,0.0,0.0,0.0
105540689,0.0,0.0,0.0,0.0
105666193,4.333333333333333,0.9333333333333331,-3.4,-0.7846153846153846
107898477,1.0,1.0,0.0,0.0
110585760,0.0,0.0,0.0,0.0
113919648,0.1703703703703703,0.0,-0.1703703703703703,-1.0
114801238,6.0,4.233333333333333,-1.7666666666666666,-0.29444444444444445
117159607,0.0,0.0,0.0,0.0
118814140,34.0,1.0,-33.0,-0.9705882352941176
119811010,0.0,0.0,0.0,0.0
121484639,0.0,0.0,0.0,0.0
123230551,1.0,0.0,-1.0,-1.0
124368177,0.0,0.0,0.0,0.0
124549469,6.5777777777777775,0.0,-6.5777777777777775,-1.0
129211419,25.0,25.0,0.0,0.0
129757228,0.0,0.0,0.0,0.0
130416943,4.0,2.0,-2.0,-0.5
130706200,0.0,0.0,0.0,0.0
131401911,5.0,0.0,-5.0,-1.0
133072121,2.0,0.7777777777777778,-1.2222222222222223,-0.6111111111111112
133968906,0.0,0.0,0.0,0.0
136142761,0.0,0.0,0.0,0.0
136539512,0.0,0.0,0.0,0.0
140675080,0.0,0.0,0.0,0.0
140687246,0.0,0.0,0.0,0.0
142607448,6.303167420814479,0.0,-6.303167420814479,-1.0
143167852,0.0,0.0,0.0,0.0
144214302,0.0,0.0,0.0,0.0
144594445,0.0,0.0,0.0,0.0
145572698,0.6844444444444444,0.0,-0.6844444444444444,-1.0
145678415,18.0,18.0,0.0,0.0
146283505,1.9333333333333333,0.0,-1.9333333333333333,-1.0
146864050,2.0,2.0,0.0,0.0
148188628,6.0,6.422018348623852,0.422018348623852,0.07033639143730867
150694180,1.0,0.45555555555555555,-0.5444444444444445,-0.5444444444444445
152730767,0.0,0.0,0.0,0.0
153501782,25.0,22.4,-2.6000000000000014,-0.10400000000000005
156504962,21.0,20.622222222222224,-0.37777777777777644,-0.017989417989417927
157816314,0.0,0.0,0.0,0.0
159349307,1.0,1.0,0.0,0.0
161740881,0.0,0.0,0.0,0.0
162200234,0.0,0.0,0.0,0.0
163265061,3.347368421052631,3.0,-0.3473684210526309,-0.10377358490566019
163627150,1.4113821138211382,0.36666666666666664,-1.0447154471544715,-0.7402073732718893
164062992,0.0,0.0,0.0,0.0
165441156,1.0,0.1,-0.9,-0.9
170180482,0.0,0.0,0.0,0.0
170803235,0.0,0.0,0.0,0.0
172262533,0.0,0.0,0.0,0.0
172315596,0.0,0.0,0.0,0.0
172428818,3.0,3.0,0.0,0.0
173486738,0.0,0.0,0.0,0.0
179375780,13.0,13.0,0.0,0.0
179839252,2.0,2.0,0.0,0.0
180239669,5.0,5.0,0.0,0.0
181508472,0.0,0.0,0.0,0.0
182082314,0.0,0.0,0.0,0.0
182082455,0.0,0.0,0.0,0.0
183520282,0.0,0.0,0.0,0.0
184726557,3.0,1.8333333333333333,-1.1666666666666667,-0.3888888888888889
185270688,8.6,7.0,-1.5999999999999996,-0.18604651162790695
186147997,0.0,0.0,0.0,0.0
187018040,0.0,0.0,0.0,0.0
187187711,0.0,0.0,0.0,0.0
187544570,0.33365539452495974,0.0,-0.33365539452495974,-1.0
191009972,65.15035460992908,30.0,-35.15035460992908,-0.5395266813263374
192862715,0.18852459016393425,0.0,-0.18852459016393425,-1.0
193235025,0.0,0.0,0.0,0.0
194344393,0.0,0.0,0.0,0.0
196039408,22.0,21.18095238095238,-0.8190476190476197,-0.03722943722943726
196394980,28.0,28.0,0.0,0.0
196738410,0.0,0.0,0.0,0.0
200017125,0.0,0.0,0.0,0.0
202498093,0.0,0.0,0.0,0.0
202870346,22.0,0.4888888888888889,-21.511111111111113,-0.9777777777777779
203996459,2.8,2.0,-0.7999999999999998,-0.28571428571428564
206546997,1.0,1.0,0.0,0.0
209494941,3.0,3.0,0.0,0.0
212313505,5.5200000000000005,0.0,-5.5200000000000005,-1.0
214950676,3.9857142857142858,2.1585365853658534,-1.8271777003484324,-0.4584316810910045
216466274,0.0,0.0,0.0,0.0
221489076,0.0,0.0,0.0,0.0
223413091,0.0,0.0,0.0,0.0
224468326,0.0,0.0,0.0,0.0
225005916,2.0,0.022222222222222223,-1.9777777777777779,-0.9888888888888889
226185277,0.0,0.0,0.0,0.0
227070034,2.0,2.0,0.0,0.0
228905930,0.0,0.0,0.0,0.0
230210812,0.0,0.0,0.0,0.0
230403420,1.0,1.0,0.0,0.0
230606373,0.0,0.0,0.0,0.0
231739426,1.0,1.0,0.0,0.0
232276030,4.0,4.0,0.0,0.0
232419333,20.0,20.0,0.0,0.0
233239354,5.366666666666666,0.0,-5.366666666666666,-1.0
234250398,1.0,1.0,0.0,0.0
236988221,0.0,0.0,0.0,0.0
237679930,0.0,0.0,0.0,0.0
237704718,0.0,0.0,0.0,0.0
239319260,11.985739750445633,5.2,-6.785739750445633,-0.5661511005353956
239428541,0.0,0.0,0.0,0.0
239991252,1.0,1.0,0.0,0.0
240386730,0.0,0.0,0.0,0.0
