gid,before,after,change,change_percentage
206452,0.0,0.0,0.0,0.0
461209,0.0,0.0,0.0,0.0
888427,0.0,0.0,0.0,0.0
930164,0.0,0.0,0.0,0.0
997085,0.0,0.0,0.0,0.0
1095380,0.0,0.0,0.0,0.0
1444509,0.0,0.0,0.0,0.0
2113067,0.0,0.0,0.0,0.0
2245032,0.0,0.0,0.0,0.0
2855738,0.0,0.0,0.0,0.0
2885533,0.0,0.0,0.0,0.0
3557653,0.0,0.0,0.0,0.0
4259466,0.0,0.0,0.0,0.0
4357484,0.0,0.0,0.0,0.0
5931298,0.0,0.0,0.0,0.0
7070674,0.0,0.0,0.0,0.0
7481569,0.0,0.0,0.0,0.0
8083731,0.0,0.0,0.0,0.0
8933498,0.0,0.0,0.0,0.0
9395939,0.0,0.0,0.0,0.0
9972351,0.0,0.0,0.0,0.0
10240326,0.0,0.0,0.0,0.0
10318197,0.0,0.0,0.0,0.0
11133793,0.0,0.0,0.0,0.0
11309292,0.0,0.0,0.0,0.0
13872961,0.0,0.0,0.0,0.0
14374533,0.98,0.0,-0.98,-1.0
18476421,0.0,0.0,0.0,0.0
18591532,0.0,0.0,0.0,0.0
18657564,0.0,0.0,0.0,0.0
19343023,0.0,0.0,0.0,0.0
21611548,0.0,0.0,0.0,0.0
22064355,0.0,0.0,0.0,0.0
22228279,0.0,0.0,0.0,0.0
22786524,0.0,0.0,0.0,0.0
25943490,0.0,0.0,0.0,0.0
29287945,0.0,0.0,0.0,0.0
30924242,0.0,0.0,0.0,0.0
31211061,0.0,0.0,0.0,0.0
31395764,0.0,0.0,0.0,0.0
31411004,0.0,0.0,0.0,0.0
31425145,0.0,0.0,0.0,0.0
33565372,0.0,0.0,0.0,0.0
35663260,0.0,0.0,0.0,0.0
37553244,0.0,0.0,0.0,0.0
37779708,0.0,0.0,0.0,0.0
38645238,0.0,0.0,0.0,0.0
41896643,0.0,0.0,0.0,0.0
42981718,0.0,0.0,0.0,0.0
45130416,0.0,0.0,0.0,0.0
45565285,0.0,0.0,0.0,0.0
47570190,0.0,0.0,0.0,0.0
47950036,0.0,0.0,0.0,0.0
49017794,0.0,0.0,0.0,0.0
49862045,0.0,0.0,0.0,0.0
50421953,0.0,0.0,0.0,0.0
52724221,0.0,0.0,0.0,0.0
53664497,0.0,0.0,0.0,0.0
55246215,0.0,0.0,0.0,0.0
55594846,0.0,0.0,0.0,0.0
56695369,0.0,0.0,0.0,0.0
57161614,0.0,0.0,0.0,0.0
57165232,0.0,0.0,0.0,0.0
58855779,0.0,0.0,0.0,0.0
59302870,0.0,0.0,0.0,0.0
59703501,0.0,0.0,0.0,0.0
62194504,0.0,0.0,0.0,0.0
66573638,0.0,0.0,0.0,0.0
67508428,0.0,0.0,0.0,0.0
68106145,0.0,0.0,0.0,0.0
68568514,0.0,0.0,0.0,0.0
70956782,0.0,0.0,0.0,0.0
71752807,0.0,0.0,0.0,0.0
74392985,5.955555555555556,7.0,1.0444444444444443,0.1753731343283582
74428198,0.0,0.0,0.0,0.0
79558820,0.0,0.0,0.0,0.0
88264938,0.0,0.0,0.0,0.0
94698893,0.0,0.0,0.0,0.0
95679729,0.0,0.0,0.0,0.0
96767206,0.0,0.0,0.0,0.0
99533003,0.0,0.0,0.0,0.0
100618359,0.0,0.0,0.0,0.0
101082324,0.0,0.0,0.0,0.0
104122786,0.0,0.0,0.0,0.0
104767104,0.0,0.0,0.0,0.0
105540689,0.0,0.0,0.0,0.0
105666193,0.0,0.0,0.0,0.0
