javascript_size,avg_problems
2747,0E-20
135116,0E-20
906,0E-20
6921,0E-20
1388,0E-20
88809,11.0000000000000000
2908,0.78947368421052631579
1384,0E-20
19380,0E-20
5503,0E-20
6798,106.1739130434782609
1177,0E-20
187227,0E-20
76606,0E-20
110,0E-20
508,0E-20
1875607,0E-20
16775,0E-20
3891,0E-20
5803,0E-20
681,0E-20
73302,0.11538461538461538462
2923,0E-20
2288,0E-20
242518,0E-20
2723,0E-20
508,0E-20
10139,0E-20
2044,0E-20
43289,0E-20
30137,0E-20
4604,0E-20
258053,0E-20
1259,0E-20
3406,2.0000000000000000
60736,0.85714285714285714286
3105,0E-20
909,0E-20
1940,0E-20
21514,1.8750000000000000
817008,5.5238095238095238
734,0E-20
30792,0E-20
4804,0E-20
2960,0E-20
11373,0E-20
32276,0E-20
200234,0E-20
510643,18.0000000000000000
23955,12.0000000000000000
155292,1.8333333333333333
148625,0E-20
29782,0E-20
106064,0E-20
27271,0.12500000000000000000
56079,0E-20
20027,0E-20
21263,0E-20
5545,0E-20
508,0E-20
709,0E-20
6375,0E-20
1777,0E-20
36461,0E-20
260928,0E-20
22510,0E-20
5416,0E-20
8386,0E-20
695,0E-20
27908,0E-20
28430,0E-20
2564,0E-20
74723,4.0000000000000000
1826,2.0000000000000000
184721,0E-20
15492,0E-20
77035,0E-20
6070,0E-20
207,0E-20
49880,0E-20
18241,0E-20
1832,0E-20
4169,0E-20
5497,0.49122807017543859649
2470,0E-20
13668,0E-20
33610,0E-20
1941,0E-20
87720,0.47619047619047619048
17163,0E-20
707,0E-20
1196,0E-20
5150,0E-20
5492,1.00000000000000000000
1311,0E-20
2542,0E-20
8075,0E-20
373292,0E-20
45812,0E-20
57891,0E-20
5825,0E-20
4847,0E-20
724,0E-20
22487,1.6666666666666667
146937,2.0000000000000000
8458,0E-20
2498,0E-20
2278,0E-20
150826,0E-20
4086,0E-20
6071,2.0000000000000000
9793,0E-20
76930,1.00000000000000000000
2710,0E-20
15005,0.88888888888888888889
24155,0E-20
5260,0E-20
1236,0E-20
99185,0E-20
1804,0E-20
226,4.0000000000000000
7797,0E-20
1308,0E-20
3888,0E-20
2731,0E-20
36784,0E-20
4255,0E-20
5069,11.0000000000000000
7569,0E-20
607693,0E-20
107612,0E-20
9380,0E-20
66897,1.5625000000000000
13383,12.0000000000000000
24891,1.4285714285714286
2619,0E-20
33398,0E-20
1925,0E-20
2873420,2.2000000000000000
164981,0E-20
87308,0E-20
44460,0E-20
9512,0E-20
65186,0E-20
46158,0E-20
189363,0E-20
45995,0E-20
36564,0E-20
646,0E-20
2524,0E-20
7998,0E-20
2402,0E-20
3973,0E-20
46247,0E-20
14260,0E-20
5301,0E-20
458,0E-20
157971,0E-20
711,13.0000000000000000
1295,0E-20
46440,0E-20
4669,0E-20
50922,0E-20
4758,0E-20
42226,0E-20
197674,0E-20
4058,0E-20
68686,0E-20
2082,0E-20
4759,12.0000000000000000
14016,0E-20
15550,0E-20
2053,0E-20
4436,0E-20
3325,0E-20
8717,0.11764705882352941176
226,2.0000000000000000
1022,0E-20
140522,0E-20
15484,0E-20
9274,0E-20
24983,0E-20
62488,0E-20
158561,2.2000000000000000
1299,0E-20
5492,1.00000000000000000000
437,4.6800000000000000
5492,1.00000000000000000000
109562,0E-20
4058,0E-20
444635,1.6666666666666667
51307,0E-20
26354,0E-20
360159,0E-20
8693,0E-20
2488,0E-20
45983,0E-20
23937,0E-20
2101,0.40000000000000000000
23004,0E-20
29919,2.0000000000000000
12236,0E-20
2288,0E-20
1139103,0E-20
9441,0E-20
111572,0E-20
60543,0E-20
41193,0E-20
15170,0E-20
7196,0E-20
5761,0E-20
12723,0E-20
18390,0E-20
28328,0E-20
23720,0.04761904761904761905
5831,0E-20
410565,7.0000000000000000
8025,0E-20
3159,3.0000000000000000
944,0E-20
29,0E-20
183699,0E-20
71224,0E-20
34861,0.12500000000000000000
226,0E-20
38130,0E-20
14041,0E-20
41018,0E-20
6495,0E-20
8881,0E-20
226,2.0000000000000000
10528,0E-20
7059,0E-20
1610,0E-20
20899,0E-20
15478,0E-20
5695,0E-20
16206,0E-20
2833,0E-20
2100,0E-20
378,0E-20
7457018,154.2962962962962963
216148,2.0000000000000000
1698214,0.08571428571428571429
12982,0E-20
150786,0E-20
12782,0E-20
1486139,1.7500000000000000
663202,0.21100917431192660550
155945,4.0000000000000000
2852,24.0000000000000000
1580,0E-20
83030,0E-20
243469,0E-20
2524,0E-20
4247,0E-20
1105,0E-20
17932,0E-20
12887,0E-20
13629,0E-20
1808,0E-20
559,0E-20
492,0E-20
76846,0E-20
27203,0E-20
463,0E-20
35192,0E-20
32911,0E-20
421907,1.00000000000000000000
21611,0E-20
1182,0E-20
1094,0E-20
69598,0E-20
65934,0E-20
1898,0E-20
30376,0E-20
88,0E-20
226,4.6666666666666667
8458,0E-20
84068,0E-20
18898,0E-20
50870,0E-20
5438,6.0000000000000000
100404,0E-20
35847,0E-20
226,2.0000000000000000
2289,0E-20
1101,2.0000000000000000
21873,0E-20
51031,0E-20
22745,0E-20
241070,0E-20
43919,0E-20
1048,0E-20
1240,0E-20
38253,0E-20
35918,0E-20
2945,0E-20
11016,0E-20
0,0E-20
27113,0E-20
20578,0E-20
33672,0E-20
17662,0E-20
8239,0E-20
7511,0E-20
1274,0E-20
393756,0.24137931034482758621
57391,0E-20
212345,2.0909090909090909
532,0E-20
44574,2.0000000000000000
25048,0E-20
91474,0E-20
52510,0E-20
9975,0E-20
85908,0E-20
3957,0E-20
7292,0E-20
23,0E-20
10521,0E-20
11254,0E-20
1156,0E-20
8347600,2.9277108433734940
2295,0E-20
9194,0E-20
193187,0E-20
400,0E-20
2105,0E-20
175586,0.10000000000000000000
331660,0E-20
1253,0E-20
23828,0E-20
13696,0E-20
5830,0E-20
2298827,3.6363636363636364
761232,0E-20
189,0E-20
226,2.0000000000000000
179811,3.0000000000000000
4349,0E-20
341870,1.00000000000000000000
11204,0E-20
34,12.0000000000000000
79515,0E-20
322142,0E-20
1048,0E-20
142534,0E-20
1393,0E-20
540396,1.00000000000000000000
27603,0E-20
34737,0E-20
33293,0E-20
21354,0E-20
10823,0E-20
95627,11.2500000000000000
12654,0E-20
2279,0E-20
121138,0E-20
6921,0E-20
8852,1.7142857142857143
148564,0E-20
582,0E-20
3287,36.0000000000000000
6078,0E-20
10832,0E-20
3742,0E-20
12808,0E-20
655,0E-20
2701,0E-20
438458,1.1666666666666667
1027,0.19047619047619047619
5896,0E-20
19671,0E-20
268605,0E-20
1238,0E-20
8706,0E-20
75397,29.0000000000000000
29604,0E-20
8231,0E-20
1259,0E-20
53937,0E-20
87978,0E-20
25826,5.7272727272727273
50183,0E-20
114474,0E-20
2846,0E-20
12693,0E-20
51718,0E-20
328,0E-20
42595,0E-20
31480,0E-20
32,0E-20
5754,0E-20
6524,0E-20
3098,0E-20
4868,1.00000000000000000000
5318,0E-20
8671,0E-20
170924,0E-20
14002,0E-20
213679,0E-20
538279,6.3333333333333333
80587,0E-20
6733,0E-20
6914,0E-20
7368,0.30434782608695652174
8056,0.17525773195876288660
5712,0E-20
2744,0E-20
378,0E-20
979929,0E-20
498,0E-20
13166,1.00000000000000000000
1277,0E-20
324591,0E-20
12500,0E-20
7965,0E-20
1814,0E-20
72867,0E-20
23147,0E-20
303,0E-20
1954,0E-20
2957,0E-20
247735,49.5000000000000000
228552,0E-20
227,0E-20
1890,0E-20
16690,0E-20
11177,0E-20
30181,0E-20
1431,0E-20
7149,0E-20
424,0E-20
14237,0E-20
6591,0E-20
18136,0E-20
30875,0E-20
8607,0E-20
12316,0E-20
60578,0E-20
2113,3.2500000000000000
131642,0.30000000000000000000
3079,12.0000000000000000
34113,0E-20
4094,0E-20
17253,0E-20
17976,0E-20
4562,0E-20
7528,0E-20
7420,0E-20
1695,0E-20
229889,1.1904761904761905
817,0E-20
8712,0E-20
1845,0E-20
226,2.7500000000000000
15830,0E-20
55544,0E-20
3103,0E-20
84240,0.30000000000000000000
139791,0E-20
6283,0E-20
1049,0E-20
27152,1.3636363636363636
230,2.0000000000000000
7071,0E-20
363,0E-20
508,0E-20
2494,0E-20
44145,0E-20
31176,0E-20
32084,0E-20
4029,0E-20
1215,0E-20
9367,0E-20
4162,0E-20
7028,0E-20
7904,0E-20
207948,0E-20
92410,0E-20
188949,0E-20
423,0E-20
3818,0E-20
116313,0E-20
132105,0E-20
20595,0E-20
3781,1.4444444444444444
10751,0E-20
10720,0E-20
4258,0E-20
4371,0E-20
38887,0E-20
130610,3.0000000000000000
108757,0.10000000000000000000
102994,0E-20
10330,0E-20
19043,0E-20
582253,4.0000000000000000
3459,0E-20
161912,0E-20
1162,0E-20
7141,0E-20
3140,0E-20
1203,0E-20
141232,0.81250000000000000000
364415,0E-20
12186,0E-20
26903,0E-20
98626,0E-20
60865,0E-20
1098,0E-20
1259,0E-20
616,0E-20
1526,0E-20
3847,0E-20
19100,1.2000000000000000
1319,0E-20
1229,0E-20
141726,0E-20
1851,0E-20
10076,0E-20
1645,0E-20
598,0E-20
1260980,2.0000000000000000
3779,0E-20
171465,0E-20
16668,0E-20
105583,0E-20
2113,2.0000000000000000
5773,0E-20
25901,0E-20
54647,0E-20
11230,0E-20
17818,0E-20
6355,0E-20
5500,3.0000000000000000
226,4.0000000000000000
30681,0E-20
86563,0E-20
