javascript_size,avg_problems
9468389,1.9425837320574163
13145,0.53333333333333333333
5423452,19.0922330097087379
226,2.0000000000000000
13066,0E-20
1243,0E-20
707,0E-20
47511,0.26498422712933753943
9086,0E-20
152450,0E-20
2014,0E-20
344333,0.40476190476190476190
337069,26.2884615384615385
423244,0E-20
10987,0E-20
96166,0E-20
536,0E-20
852632,1.4430379746835443
267175,0.50000000000000000000
220981,2.4016393442622951
8881,0E-20
28985,0E-20
27203,0E-20
8581,0E-20
4263,0E-20
10834,0.66666666666666666667
1027633,0E-20
10085,0E-20
25048,0E-20
308068,0E-20
254495,0E-20
567148,0E-20
133924,0.08227848101265822785
96177,0E-20
15,0E-20
2914,0E-20
18336,0E-20
1353553,2.1071428571428571
19450,1.00000000000000000000
320997,0E-20
89483,0E-20
7830,0E-20
7501589,0E-20
64628,0E-20
189,2.0000000000000000
54011,0E-20
2209,0E-20
1203,0E-20
547540,0E-20
22613,0.76000000000000000000
14092,0E-20
4594,0E-20
1306515,9.0000000000000000
47008,0E-20
7845,0E-20
66484,0E-20
32851,0E-20
340283,0.09316770186335403727
12186,0E-20
179570,2.1792452830188679
15030,0E-20
750114,0E-20
9259,0E-20
2760,0E-20
136592,0E-20
6098,0E-20
127247,0E-20
226,0E-20
60589,0E-20
1899,8.3636363636363636
220981,2.4645161290322581
191009,0E-20
133989,0.08176100628930817610
47632,0.26332288401253918495
6505,0E-20
13271,0E-20
14451,1.8141592920353982
15475,0.07843137254901960784
55931,0E-20
792,0E-20
41109,9.0000000000000000
28973,0E-20
792,0E-20
76210,0E-20
189049,0.60937500000000000000
1174,0E-20
152450,0E-20
12761,0E-20
15,0E-20
1086,0E-20
132603,0.07006369426751592357
3223,0E-20
792,0E-20
513,0E-20
3097,0E-20
32280,0.07407407407407407407
3585,0E-20
8092,0E-20
31447,0E-20
16,0E-20
15,0E-20
134789,0.07594936708860759494
2431,1.00000000000000000000
103482,5.6923076923076923
46542,0E-20
1109159,7.9428571428571429
9404,1.9166666666666667
3962,0E-20
15,0E-20
2481,0E-20
1604,0E-20
19727,0E-20
46127,9.3495934959349593
1111,0E-20
37539,0E-20
5819,0E-20
167002,0E-20
413581,0E-20
1546,0E-20
18783,2.4077669902912621
7786188,0E-20
11248,0E-20
1327,1.5000000000000000
17234,0E-20
490,0E-20
13700,0E-20
48580,0E-20
34916,0E-20
62904,0E-20
13374,1.00000000000000000000
226776,0.30000000000000000000
1005760,0E-20
42135,0E-20
336673,0.83439490445859872611
5959,0E-20
165029,0.08750000000000000000
15150,0E-20
2208,0E-20
220981,2.4247787610619469
272368,0E-20
15426,0E-20
23452,0E-20
13790,0E-20
261996,0E-20
90829,0E-20
54539,0E-20
114770,0.85185185185185185185
10586,0E-20
18089,0E-20
24097,1.5099337748344371
4048,0E-20
910,0E-20
5828481,16.4912280701754386
34915,0E-20
3842,0E-20
177138,0E-20
164552,0.08750000000000000000
6925,0E-20
5859,0E-20
