gid,before,after,change,change_percentage
38979597,0.0,0.0,0.0,0.0
362298234,0.0,0.0,0.0,0.0
349137027,0.0,0.0,0.0,0.0
122762077,0.0,0.0,0.0,0.0
139241077,0.0,0.0,0.0,0.0
118565129,0.0,0.0,0.0,0.0
472792005,0.0,0.0,0.0,0.0
38747769,0.0,0.0,0.0,0.0
467701701,0.15555555555555556,1.0833333333333333,0.9277777777777777,5.9642857142857135
1570020,0.0,0.0,0.0,0.0
291117678,0.0,0.0,0.0,0.0
224600605,0.0,0.0,0.0,0.0
81210453,0.0,0.0,0.0,0.0
367722418,0.0,0.0,0.0,0.0
301134938,0.0,0.0,0.0,0.0
112780000,0.0,0.0,0.0,0.0
274225432,0.0,0.0,0.0,0.0
281135884,0.0,0.0,0.0,0.0
333831487,0.0,0.0,0.0,0.0
253288163,0.0,0.0,0.0,0.0
205895680,0.0,0.0,0.0,0.0
314623293,0.0,0.0,0.0,0.0
285321051,0.0,0.0,0.0,0.0
368147346,0.0,0.0,0.0,0.0
457145066,0.0,0.0,0.0,0.0
1151051,0.0,0.0,0.0,0.0
196736578,0.0,0.0,0.0,0.0
465074573,0.0,0.0,0.0,0.0
384161058,0.0,0.0,0.0,0.0
433768430,0.0,0.0,0.0,0.0
317361772,0.0,0.0,0.0,0.0
402074976,0.0,0.0,0.0,0.0
371798822,0.0,0.0,0.0,0.0
154386119,0.0,0.0,0.0,0.0
45668780,0.0,0.0,0.0,0.0
11648402,0.0,0.0,0.0,0.0
95936408,0.0,0.0,0.0,0.0
6325726,0.0,0.0,0.0,0.0
465885927,0.0,0.0,0.0,0.0
107213695,0.0,0.0,0.0,0.0
187676473,0.0,0.0,0.0,0.0
151168793,0.0,0.0,0.0,0.0
46616385,0.0,0.0,0.0,0.0
45765028,0.0,0.0,0.0,0.0
352085213,0.0,0.0,0.0,0.0
449224100,0.0,0.0,0.0,0.0
183668188,0.0,0.0,0.0,0.0
173772043,0.0,0.0,0.0,0.0
431491039,0.0,0.0,0.0,0.0
336191347,0.0,0.0,0.0,0.0
1547663,0.0,0.0,0.0,0.0
350814622,0.0,0.0,0.0,0.0
296395619,0.0,0.0,0.0,0.0
386757976,0.0,0.0,0.0,0.0
343864946,0.0,0.0,0.0,0.0
306104931,0.0,0.0,0.0,0.0
259480565,0.0,0.0,0.0,0.0
128410412,0.0,0.0,0.0,0.0
317964555,0.0,0.0,0.0,0.0
392986912,0.0,0.0,0.0,0.0
323733223,0.0,0.0,0.0,0.0
97262033,0.0,0.0,0.0,0.0
233239354,0.0,0.0,0.0,0.0
361418670,0.0,0.0,0.0,0.0
