gid,before,after,change,change_percentage
655209,0.0,0.0,0.0,0.0
888427,48.0,46.0,-2.0,-0.041666666666666664
1349793,5.0,5.0,0.0,0.0
1547663,3.0,3.0,0.0,0.0
4277814,3.0,3.0,0.0,0.0
4282957,0.0,0.0,0.0,0.0
4939243,0.0,0.0,0.0,0.0
6229857,0.0,0.0,0.0,0.0
6325726,0.0,0.0,0.0,0.0
7391322,0.0,0.0,0.0,0.0
7568671,0.0,0.0,0.0,0.0
8013606,0.0,0.0,0.0,0.0
8629417,1.0,1.0,0.0,0.0
10257731,0.0,0.0,0.0,0.0
11920542,0.0,0.0,0.0,0.0
14282805,1.0,1.0,0.0,0.0
15356807,2.0,2.0,0.0,0.0
18079312,0.0,0.0,0.0,0.0
19143802,0.0,0.0,0.0,0.0
19375377,1.0,1.0,0.0,0.0
22228279,52.0,52.0,0.0,0.0
29759045,1.0,1.0,0.0,0.0
30383841,3.0,3.0,0.0,0.0
33884891,0.0,0.0,0.0,0.0
35662043,0.0,0.0,0.0,0.0
37448451,0.0,0.0,0.0,0.0
40067972,0.0,0.0,0.0,0.0
40878692,0.0,0.0,0.0,0.0
41847366,1.0,1.0,0.0,0.0
44174919,0.0,0.0,0.0,0.0
44279533,0.0,0.0,0.0,0.0
45565285,0.0,0.0,0.0,0.0
45765028,0.0,0.0,0.0,0.0
46616385,0.0,0.0,0.0,0.0
48028716,0.0,0.0,0.0,0.0
48305754,22.4,22.766666666666666,0.36666666666666714,0.01636904761904764
48395618,0.0,0.0,0.0,0.0
49672452,0.0,14.5,14.5,inf
51877056,0.0,0.0,0.0,0.0
53664497,1.0,0.8666666666666667,-0.1333333333333333,-0.1333333333333333
58763555,0.0,0.0,0.0,0.0
62729823,50.0,50.0,0.0,0.0
63089994,0.0,0.0,0.0,0.0
63243218,0.0,0.0,0.0,0.0
64497406,0.0,0.0,0.0,0.0
65591126,0.0,0.0,0.0,0.0
67191689,0.0,0.0,0.0,0.0
67508428,19.0,18.155555555555555,-0.844444444444445,-0.044444444444444474
69518525,0.0,0.0,0.0,0.0
71954682,0.0,0.0,0.0,0.0
73478141,0.0,0.0,0.0,0.0
74045752,0.0,0.0,0.0,0.0
76813311,0.0,0.0,0.0,0.0
77124129,0.0,0.0,0.0,0.0
80431949,0.0,0.0,0.0,0.0
88362767,0.0,0.0,0.0,0.0
95936408,0.0,0.0,0.0,0.0
96747955,0.0,0.0,0.0,0.0
98416918,0.0,0.0,0.0,0.0
105615409,0.0,0.0,0.0,0.0
105859846,0.0,0.0,0.0,0.0
107030852,0.0,0.0,0.0,0.0
107731559,0.0,0.0,0.0,0.0
108516713,12.0,12.0,0.0,0.0
110425123,0.0,0.0,0.0,0.0
