javascript_size,avg_problems
701,0E-20
19380,0E-20
26795,1.8974358974358974
13145,0.53333333333333333333
114227,0E-20
242518,0E-20
7586,0E-20
394167,0E-20
2287605,15.9285714285714286
393071,0E-20
56079,0E-20
695,0E-20
432,0E-20
33610,0E-20
49933,0E-20
540217,0.53932584269662921348
1941,0E-20
61030,0E-20
13635,0E-20
373292,0E-20
150826,0E-20
7797,0E-20
1500830,18.0732758620689655
2731,0E-20
210268,0E-20
27475,1.9459459459459459
57226,0E-20
10102,0E-20
9013,0E-20
46247,0E-20
344333,0.40476190476190476190
1395,0E-20
4669,0E-20
337500,0.04444444444444444444
1585,0E-20
51307,0E-20
68340,0E-20
360159,0E-20
8693,0E-20
99162,0E-20
378,0E-20
96166,0E-20
104360,0E-20
15170,0E-20
58664,0E-20
433779,0E-20
23720,0.04761904761904761905
5831,0E-20
68265,0.65909090909090909091
183699,0E-20
41018,0E-20
15478,0E-20
5695,0E-20
9144,0E-20
2852,24.0000000000000000
83030,0E-20
4247,0E-20
17932,0E-20
12887,0E-20
14455,1.6233766233766234
18984,0E-20
288270,2.1282051282051282
69598,0E-20
895127,5.6588235294117647
21298,2.0000000000000000
5598664,34.4512195121951220
9634,2.0396039603960396
80322,0E-20
180339,0E-20
85908,0E-20
308068,0E-20
254495,0E-20
240,0E-20
567148,0E-20
240648,0E-20
79515,0E-20
142534,0E-20
33293,0E-20
151927,0E-20
15659,2.9789029535864979
3681,10.1463414634146341
214692,0.06250000000000000000
3069,0E-20
5318,0E-20
658317,0E-20
6733,0E-20
11653,0E-20
5712,0E-20
126894,0E-20
15496,0E-20
1515108,0.60509554140127388535
1890,0E-20
9801,0E-20
17976,0E-20
7528,0E-20
7420,0E-20
50406,0E-20
3103,0E-20
50460,0E-20
80373,0E-20
1241300,0.85964912280701754386
4059,1.8666666666666667
9195,0E-20
188949,0E-20
776427,3.2083333333333333
458577,0E-20
19043,0E-20
582253,4.0000000000000000
7141,0E-20
3847,0E-20
20251,0E-20
141726,0E-20
598,0E-20
11629,0E-20
10874,0E-20
713849,2.3490566037735849
1204497,0E-20
2740,0E-20
29266,0E-20
422201,0E-20
38566,3.0000000000000000
176370,0E-20
4744,0E-20
145113,0E-20
860408,0E-20
225182,0E-20
4246550,0.03389830508474576271
471907,6.8666666666666667
16533,0E-20
615561,0E-20
8887,0E-20
1966,0E-20
16178,0E-20
5109,0E-20
2760,0E-20
6808,0E-20
3156,0E-20
62170,0E-20
13281,0E-20
2566,0E-20
68531,42.7252747252747253
33419,0E-20
768209,16.5801526717557252
220981,2.4645161290322581
1004847,1.5294117647058824
1120,0E-20
4087,0E-20
133702,0E-20
57432,0E-20
11283,0E-20
158996,0E-20
6853,0E-20
192617,0E-20
47632,0.26332288401253918495
159114,0E-20
59702,0E-20
361,0E-20
372685,0E-20
6713,0E-20
20066,0E-20
7112,0E-20
785308,10.1780821917808219
3042,0E-20
65984,0E-20
10799,0E-20
65580,0E-20
16837,0E-20
6072145,0.09740259740259740260
29512,0E-20
82327,0E-20
18666,0E-20
12013,0E-20
3649,10.6944444444444444
12133,3.0925925925925926
397,0E-20
3512,0.08247422680412371134
44616,0E-20
3533,0E-20
14340,0E-20
19504,0E-20
6090,0E-20
161685,0E-20
2700,0E-20
151842,1.5000000000000000
286039,31.5555555555555556
18410,0E-20
1101,0E-20
9946,0E-20
1336025,0E-20
88533,0E-20
1517197,4.4076923076923077
377,1.5061728395061728
3661,0E-20
17696,0E-20
778441,27.6923076923076923
43495,0E-20
1164,0E-20
7657,0E-20
11829,0E-20
446418,15.2829268292682927
291815,0E-20
20533,0E-20
49161,0E-20
3874,0E-20
1314921,0.08888888888888888889
15580888,10.2136222910216718
33455,0E-20
4737424,50.0000000000000000
294366,0E-20
8273,0E-20
155873,0E-20
31481,0E-20
11119,0E-20
3875,0E-20
332998,2.0000000000000000
18161,0E-20
66370,0E-20
32146,0E-20
1389608,0E-20
27250,0.20000000000000000000
123991,23.3636363636363636
33125,0E-20
30891,0.93661971830985915493
128154,0E-20
65522,0E-20
25968,0E-20
6357,0.50000000000000000000
9509,0E-20
49967,0E-20
28763,0E-20
175879,0E-20
7889,0E-20
15836,0E-20
769420,8.2068965517241379
83899,0E-20
298545,2.2580645161290323
73080,0E-20
7238,0E-20
30660,0E-20
339787,0E-20
19427,0E-20
77508,0E-20
19727,0E-20
4178339,0E-20
158035,0E-20
120310,11.7631578947368421
17893,0E-20
