gid,before,after,change,change_percentage
75547,0.0,0.0,0.0,0.0
84822,0.0,0.0,0.0,0.0
165557,0.0,0.0,0.0,0.0
206452,12.0,12.0,0.0,0.0
221862,0.0,0.0,0.0,0.0
247278,8.0,8.0,0.0,0.0
269027,6.0,6.0,0.0,0.0
275604,2.0,2.0,0.0,0.0
349241,161.0,161.0,0.0,0.0
461209,5.0,5.0,0.0,0.0
584418,0.0,0.0,0.0,0.0
627735,0.0,0.0,0.0,0.0
645063,0.0,0.0,0.0,0.0
655209,0.0,0.0,0.0,0.0
705634,2.0,2.0,0.0,0.0
712530,0.0,0.0,0.0,0.0
742421,1.0,1.0,0.0,0.0
855820,0.0,0.0,0.0,0.0
888427,48.0,46.0,-2.0,-0.041666666666666664
930164,3.0,0.03333333333333333,-2.966666666666667,-0.9888888888888889
997085,0.0,0.0,0.0,0.0
1095380,24.0,23.0,-1.0,-0.041666666666666664
1111303,2.0,2.0,0.0,0.0
1131939,0.0,0.0,0.0,0.0
1133930,0.0,0.0,0.0,0.0
1151051,0.0,0.0,0.0,0.0
1349793,5.0,5.0,0.0,0.0
1379004,0.0,0.0,0.0,0.0
1444509,2.922222222222222,2.7452380952380953,-0.1769841269841268,-0.06056491037479625
1461917,18.022222222222222,19.0,0.9777777777777779,0.05425400739827374
1534331,0.0,0.0,0.0,0.0
1547663,3.0,3.0,0.0,0.0
1570020,25.0,25.0,0.0,0.0
1714160,0.0,0.0,0.0,0.0
1774600,0.0,0.0,0.0,0.0
1833401,3.0,3.0,0.0,0.0
1929395,0.0,0.0,0.0,0.0
2067414,0.0,1.0,1.0,inf
2096579,0.0,0.0,0.0,0.0
2113067,2.9,0.0,-2.9,-1.0
2167680,0.0,0.0,0.0,0.0
2245032,2.8333333333333335,0.0,-2.8333333333333335,-1.0
2319498,0.0,0.0,0.0,0.0
2432524,0.0,0.0,0.0,0.0
2561582,0.0,0.0,0.0,0.0
2631864,0.0,0.0,0.0,0.0
2684396,0.0,0.0,0.0,0.0
2909429,2.0,2.0,0.0,0.0
2968000,1.0,1.0,0.0,0.0
3245790,146.0,146.0,0.0,0.0
3402537,0.0,0.0,0.0,0.0
3493279,0.0,0.0,0.0,0.0
3557653,2.0,2.0,0.0,0.0
3782004,0.0,0.0,0.0,0.0
4141506,0.0,0.0,0.0,0.0
4180355,32.0,32.0,0.0,0.0
4239855,0.0,0.0,0.0,0.0
4254338,0.0,0.0,0.0,0.0
4259466,5.0,3.688888888888889,-1.311111111111111,-0.2622222222222222
4277814,3.0,3.0,0.0,0.0
4282957,0.0,0.0,0.0,0.0
4357484,0.0,0.0,0.0,0.0
4473517,28.644444444444446,28.214814814814815,-0.42962962962963047,-0.014998707008016579
4569994,0.0,0.0,0.0,0.0
4597760,14.0,14.0,0.0,0.0
4619701,0.0,0.0,0.0,0.0
4661744,10.0,10.0,0.0,0.0
4689678,0.0,0.0,0.0,0.0
4939243,0.0,0.0,0.0,0.0
5023534,0.0,0.0,0.0,0.0
5169716,1.0,1.0,0.0,0.0
5187976,1.0,1.0,0.0,0.0
5230549,3.0,3.0,0.0,0.0
5368831,3.0,3.0,0.0,0.0
5452161,0.0,0.0,0.0,0.0
5453131,0.0,0.0,0.0,0.0
5604798,7.0,8.0,1.0,0.14285714285714285
5659452,1.1777777777777778,2.0,0.8222222222222222,0.6981132075471698
5682970,7.0,7.0,0.0,0.0
