gid,before,after,change,change_percentage
75547,0.0,0.0,0.0,0.0
84822,0.0,0.0,0.0,0.0
165557,0.0,0.0,0.0,0.0
206452,0.0,0.0,0.0,0.0
221862,0.0,0.0,0.0,0.0
247278,0.0,0.0,0.0,0.0
269027,0.0,0.0,0.0,0.0
275604,0.0,0.0,0.0,0.0
349241,0.0,0.0,0.0,0.0
461209,0.0,0.0,0.0,0.0
584418,0.0,0.0,0.0,0.0
627735,0.0,0.0,0.0,0.0
645063,0.0,0.0,0.0,0.0
655209,0.0,0.0,0.0,0.0
705634,0.0,0.0,0.0,0.0
712530,0.0,0.0,0.0,0.0
742421,0.0,0.0,0.0,0.0
855820,0.0,0.0,0.0,0.0
888427,0.0,0.0,0.0,0.0
930164,0.0,0.0,0.0,0.0
997085,0.0,0.0,0.0,0.0
1095380,0.0,0.0,0.0,0.0
1111303,0.0,0.0,0.0,0.0
1131939,0.0,0.0,0.0,0.0
1133930,0.0,0.0,0.0,0.0
1151051,0.0,0.0,0.0,0.0
1349793,0.0,0.0,0.0,0.0
1379004,0.0,0.0,0.0,0.0
1444509,0.0,0.0,0.0,0.0
1461917,0.0,0.0,0.0,0.0
1534331,0.0,0.0,0.0,0.0
1547663,0.0,0.0,0.0,0.0
1570020,0.0,0.0,0.0,0.0
1714160,0.0,0.0,0.0,0.0
1774600,0.0,0.0,0.0,0.0
1833401,0.0,0.0,0.0,0.0
1929395,0.0,0.0,0.0,0.0
2067414,0.0,0.0,0.0,0.0
2096579,0.0,0.0,0.0,0.0
2113067,0.0,0.0,0.0,0.0
2167680,0.0,0.0,0.0,0.0
2245032,0.0,0.0,0.0,0.0
2319498,0.0,0.0,0.0,0.0
2432524,0.0,0.0,0.0,0.0
2561582,0.0,0.0,0.0,0.0
2631864,0.0,0.0,0.0,0.0
2684396,0.0,0.0,0.0,0.0
2909429,0.0,0.0,0.0,0.0
2968000,0.0,0.0,0.0,0.0
3245790,0.0,0.0,0.0,0.0
3402537,0.0,0.0,0.0,0.0
3493279,0.0,0.0,0.0,0.0
3557653,0.0,0.0,0.0,0.0
3782004,0.0,0.0,0.0,0.0
4141506,0.0,0.0,0.0,0.0
4180355,0.0,0.0,0.0,0.0
4239855,0.0,0.0,0.0,0.0
4254338,0.0,0.0,0.0,0.0
4259466,0.0,0.0,0.0,0.0
4277814,0.0,0.0,0.0,0.0
4282957,0.0,0.0,0.0,0.0
4357484,0.0,0.0,0.0,0.0
4473517,0.0,0.0,0.0,0.0
4569994,0.0,0.0,0.0,0.0
4597760,0.0,0.0,0.0,0.0
4619701,0.0,0.0,0.0,0.0
4661744,0.0,0.0,0.0,0.0
4689678,0.0,0.0,0.0,0.0
4939243,0.0,0.0,0.0,0.0
5023534,0.0,0.0,0.0,0.0
5169716,0.0,0.0,0.0,0.0
5187976,0.0,0.0,0.0,0.0
5230549,0.0,0.0,0.0,0.0
5368831,0.0,0.0,0.0,0.0
5452161,0.0,0.0,0.0,0.0
5453131,0.0,0.0,0.0,0.0
5604798,0.0,0.0,0.0,0.0
5659452,0.0,0.0,0.0,0.0
5682970,0.0,0.0,0.0,0.0
5683653,0.0,0.0,0.0,0.0
5931298,0.0,0.0,0.0,0.0
5973855,0.0,0.0,0.0,0.0
6198699,0.0,0.0,0.0,0.0
6229857,0.0,0.0,0.0,0.0
6325726,0.0,0.0,0.0,0.0
6448127,0.0,0.0,0.0,0.0
