"";"index";"rule";"n";"value"
"1";-500;"XSS through DOM";0,765375485098319;0,454030212259967
"2";-500;"Unsafe jQuery plugin";0,558995369713026;0,331602973056474
"3";-500;"HTML constructed from input";0,233384481108171;0,138446563234401
"4";-500;"XSS";0,0937045352489314;0,0555866902678868
"5";-500;"Reflected XSS";0,0212320874546386;0,0125951371077862
"6";-500;"XSS through Exception";0,00976794826843069;0,00579446782919923
"7";-500;"Stored XSS";0,00327699878400973;0,00194395624428507
"8";-499;"XSS through DOM";0,765430239393993;0,454025500394324
"9";-499;"Unsafe jQuery plugin";0,559009744320199;0,331584337576242
"10";-499;"HTML constructed from input";0,233402122904082;0,138445687393436
"11";-499;"XSS";0,0937241867103591;0,0555937936341686
"12";-499;"Reflected XSS";0,0212546935520243;0,012607514544142
"13";-499;"XSS through Exception";0,00977694409276899;0,00579932919499131
"14";-499;"Stored XSS";0,00327706664060973;0,00194383726269602
"15";-498;"XSS through DOM";0,765484993689666;0,454025174832981
"16";-498;"Unsafe jQuery plugin";0,559024118927372;0,33156890784818
"17";-498;"HTML constructed from input";0,233403479115993;0,138436489657988
"18";-498;"XSS";0,0937438381717869;0,0556014329037458
"19";-498;"Reflected XSS";0,02127729964941;0,0126200118525295
"20";-498;"XSS through Exception";0,00978593991710728;0,00580424582897955
"21";-498;"Stored XSS";0,00327713449720974;0,00194373707559583
"22";-497;"XSS through DOM";0,765559211244268;0,454023872615951
"23";-497;"Unsafe jQuery plugin";0,559057956793473;0,331555880762755
"24";-497;"HTML constructed from input";0,233413176724587;0,13842842311811
"25";-497;"XSS";0,0937627172816698;0,0556070796118149
"26";-497;"Reflected XSS";0,0212999057467956;0,0126321590171936
"27";-497;"XSS through Exception";0,00979493574144557;0,00580900156648569
"28";-497;"Stored XSS";0,00327720235380974;0,00194358330769016
"29";-496;"XSS through DOM";0,76563342879887;0,45402198683069
"30";-496;"Unsafe jQuery plugin";0,559093963120488;0,331543715847459
"31";-496;"HTML constructed from input";0,233422874333181;0,138420180193467
"32";-496;"XSS";0,0937815963915528;0,0556126536802928
"33";-496;"Reflected XSS";0,0213225118441813;0,0126442874978742
"34";-496;"XSS through Exception";0,00980393156578386;0,00581374887879749
"35";-496;"Stored XSS";0,00327727021040975;0,00194342707141925
"36";-495;"XSS through DOM";0,765706494847532;0,454022289955219
"37";-495;"Unsafe jQuery plugin";0,559129969447502;0,331533650059603
"38";-495;"HTML constructed from input";0,233432571941775;0,138412814278459
"39";-495;"XSS";0,0937909612918351;0,0556129369534726
"40";-495;"Reflected XSS";0,021345117941567;0,0126564935682362
"41";-495;"XSS through Exception";0,00981292739012215;0,00581853202866549
"42";-495;"Stored XSS";0,00327733806700975;0,001943283156345
"43";-494;"XSS through DOM";0,765798560744196;0,454028743284069
"44";-494;"Unsafe jQuery plugin";0,559165975774516;0,331519851671434
"45";-494;"HTML constructed from input";0,233442269550369;0,138403890665889
"46";-494;"XSS";0,0938003261921175;0,055612593707745
"47";-494;"Reflected XSS";0,0213677240389527;0,0126685546167893
"48";-494;"XSS through Exception";0,00982192321446044;0,00582324867437784
"49";-494;"Stored XSS";0,00327740592360975;0,00194311737969609
"50";-493;"XSS through DOM";0,765855275007296;0,45403057190456
"51";-493;"Unsafe jQuery plugin";0,559201982101531;0,33151798261271
"52";-493;"HTML constructed from input";0,233451967158963;0,138399947901931
"53";-493;"XSS";0,0937843579617315;0,0555992327410179
"54";-493;"Reflected XSS";0,0213903301363384;0,0126810693116092
"55";-493;"XSS through Exception";0,00983091903879873;0,0058281739895187
"56";-493;"Stored XSS";0,00327747378020976;0,00194302153865384
"57";-492;"XSS through DOM";0,766009702774403;0,454067858795279
"58";-492;"Unsafe jQuery plugin";0,559237988428545;0,331499712135519
"59";-492;"HTML constructed from input";0,233461664767557;0,138389158580941
"60";-492;"XSS";0,0937683897313456;0,0555831235476305
"61";-492;"Reflected XSS";0,0213986863477232;0,0126845073316311
"62";-492;"XSS through Exception";0,00983991486313703;0,00583281002375023
"63";-492;"Stored XSS";0,00327754163680976;0,00194282958524989
"64";-491;"XSS through DOM";0,766055230979805;0,45420797950936
"65";-491;"Unsafe jQuery plugin";0,558948283075538;0,331410530258045
"66";-491;"HTML constructed from input";0,233357363288144;0,138361794549946
"67";-491;"XSS";0,0936873992061152;0,0555489507518528
"68";-491;"Reflected XSS";0,0213988997671074;0,0126877940830841
"69";-491;"XSS through Exception";0,00984891068747532;0,00583959699355442
"70";-491;"Stored XSS";0,00327760949340977;0,0019433538541578
"71";-490;"XSS through DOM";0,766097798169935;0,454348408660003
"72";-490;"Unsafe jQuery plugin";0,558658577722532;0,331322758502681
"73";-490;"HTML constructed from input";0,233253061808731;0,138335024197997
"74";-490;"XSS";0,0936019671579754;0,0555123705188336
"75";-490;"Reflected XSS";0,0213991131864917;0,0126911381892017
"76";-490;"XSS through Exception";0,00985790651181361;0,00584641301288284
"77";-490;"Stored XSS";0,00327767735000977;0,00194388691840039
"78";-489;"XSS through DOM";0,766144251167039;0,454490166525611
"79";-489;"Unsafe jQuery plugin";0,558375712314806;0,331238236255437
"80";-489;"HTML constructed from input";0,233141920384037;0,138303863871635
"81";-489;"XSS";0,0935165351098357;0,055475643849347
"82";-489;"Reflected XSS";0,0213993266058759;0,0126944547294136
"83";-489;"XSS through Exception";0,0098669023361519;0,00585321899762177
"84";-489;"Stored XSS";0,00327774520660978;0,00194441577093529
"85";-488;"XSS through DOM";0,766741699756178;0,454644994383405
