gid,before,after,change,change_percentage
422903625,0.0,0.0,0.0,0.0
332457921,0.0,0.0,0.0,0.0
436880343,0.0,0.0,0.0,0.0
432200455,0.0,0.0,0.0,0.0
135584658,0.0,0.0,0.0,0.0
177453481,0.0,0.0,0.0,0.0
358772000,0.0,0.0,0.0,0.0
443456345,0.0,0.0,0.0,0.0
208883280,0.0,0.0,0.0,0.0
352325208,0.0,0.0,0.0,0.0
137820209,0.0,0.0,0.0,0.0
446107544,0.0,0.0,0.0,0.0
471661418,0.0,0.0,0.0,0.0
449971801,0.0,0.0,0.0,0.0
224416873,0.0,0.0,0.0,0.0
352471027,0.0,0.0,0.0,0.0
30285498,0.0,0.0,0.0,0.0
458188751,0.0,0.0,0.0,0.0
13584262,0.0,0.0,0.0,0.0
237520606,0.0,0.0,0.0,0.0
132868629,0.0,0.0,0.0,0.0
426695811,0.0,0.0,0.0,0.0
10654847,0.0,0.0,0.0,0.0
288093298,0.0,0.0,0.0,0.0
434597854,1.0,1.0,0.0,0.0
203504244,0.0,0.0,0.0,0.0
285822193,0.0,0.0,0.0,0.0
371564420,3.0,3.0,0.0,0.0
232221293,0.0,0.0,0.0,0.0
227472681,0.0,0.0,0.0,0.0
277542243,0.0,0.0,0.0,0.0
198713293,0.0,0.0,0.0,0.0
361198667,0.0,0.0,0.0,0.0
417807681,0.0,0.0,0.0,0.0
467675865,0.0,0.0,0.0,0.0
263594031,0.0,0.0,0.0,0.0
225589536,9.0,9.0,0.0,0.0
327638666,0.0,0.0,0.0,0.0
391750897,0.0,0.0,0.0,0.0
888427,21.0,21.0,0.0,0.0
230606373,0.0,0.0,0.0,0.0
456873335,0.0,0.0,0.0,0.0
149713043,0.0,0.0,0.0,0.0
242268034,0.0,0.0,0.0,0.0
301339695,0.0,0.0,0.0,0.0
472963633,0.0,0.0,0.0,0.0
286460174,0.0,0.0,0.0,0.0
106319919,0.0,0.0,0.0,0.0
157448951,0.0,0.0,0.0,0.0
389594590,0.0,0.0,0.0,0.0
316553640,0.0,0.0,0.0,0.0
457101495,0.0,0.0,0.0,0.0
375892136,0.0,0.0,0.0,0.0
279057421,0.0,0.0,0.0,0.0
97453977,0.0,0.0,0.0,0.0
75928556,0.0,0.0,0.0,0.0
220780171,0.0,0.0,0.0,0.0
112780000,0.0,0.0,0.0,0.0
