"";"index";"rule";"n";"value"
"1";-500;"XSS through DOM";0,752997672723393;0,452390021980058
"2";-500;"Unsafe jQuery plugin";0,551856487149666;0,331547330615965
"3";-500;"HTML constructed from input";0,231699529631247;0,139201698889119
"4";-500;"XSS";0,0933623731378246;0,0560907524231432
"5";-500;"Reflected XSS";0,021544611925329;0,0129436886932208
"6";-500;"XSS through Exception";0,00975460407680715;0,00586042389314872
"7";-500;"Stored XSS";0,00327252200971463;0,00196608350534552
"8";-499;"XSS through DOM";0,752981634687217;0,452362174477793
"9";-499;"Unsafe jQuery plugin";0,551870842119397;0,33154260697968
"10";-499;"HTML constructed from input";0,231717147326344;0,139206678887829
"11";-499;"XSS";0,0933818242112991;0,0561001797533527
"12";-499;"Reflected XSS";0,021567187140068;0,0129567299156018
"13";-499;"XSS through Exception";0,00976358761176794;0,00586558492173377
"14";-499;"Stored XSS";0,00327258977361436;0,00196604506400867
"15";-498;"XSS through DOM";0,752965596651041;0,452338748561956
"16";-498;"Unsafe jQuery plugin";0,551885197089129;0,33154112287664
"17";-498;"HTML constructed from input";0,231718501685506;0,139203248511299
"18";-498;"XSS";0,0934012752847736;0,0561101545200948
"19";-498;"Reflected XSS";0,0215897623548069;0,0129698968037306
"20";-498;"XSS through Exception";0,00977257114672871;0,00587080289246285
"21";-498;"Stored XSS";0,00327265753751409;0,00196602583381647
"22";-497;"XSS through DOM";0,752968995284641;0,45231438381321
"23";-497;"Unsafe jQuery plugin";0,551918988728637;0,331542067289547
"24";-497;"HTML constructed from input";0,231728186046001;0,139200939666749
"25";-497;"XSS";0,0934199550618284;0,0561181000469683
"26";-497;"Reflected XSS";0,0216123375695459;0,0129827007642417
"27";-497;"XSS through Exception";0,00978155468168949;0,00587585665052662
"28";-497;"Stored XSS";0,00327272530141383;0,00196595176875683
"29";-496;"XSS through DOM";0,752972393918242;0,45228943359079
"30";-496;"Unsafe jQuery plugin";0,55195494586668;0,331543881090523
"31";-496;"HTML constructed from input";0,231737870406496;0,139198450028529
"32";-496;"XSS";0,0934386348388832;0,0561259716400225
"33";-496;"Reflected XSS";0,0216349127842849;0,0129954863259606
"34";-496;"XSS through Exception";0,00979053821665028;0,00588090216895594
"35";-496;"Stored XSS";0,00327279306531356;0,00196587515522018
"36";-495;"XSS through DOM";0,752974642618998;0,452266689014026
"37";-495;"Unsafe jQuery plugin";0,551990903004723;0,331547815739831
"38";-495;"HTML constructed from input";0,231747554766991;0,139196851194095
