"";"index";"rule";"n";"value"
"1";-500;"XSS through DOM";0,761145147397035;0,453001257436288
"2";-500;"Unsafe jQuery plugin";0,556721830906207;0,331337183591334
"3";-500;"HTML constructed from input";0,234882065894864;0,139791827568604
"4";-500;"XSS";0,0935304213808333;0,055665333529299
"5";-500;"Reflected XSS";0,0210064304643255;0,0125021350357813
"6";-500;"XSS through Exception";0,00992434574131889;0,00590654898796171
"7";-500;"Stored XSS";0,00301720770342592;0,00179571385073212
"8";-499;"XSS through DOM";0,761229738004124;0,453005745917018
"9";-499;"Unsafe jQuery plugin";0,55673660813041;0,331312440718206
"10";-499;"HTML constructed from input";0,234900201818189;0,139788470980794
"11";-499;"XSS";0,0935504446117486;0,0556716150545136
"12";-499;"Reflected XSS";0,0210296697337814;0,0125146992406234
"13";-499;"XSS through Exception";0,00993359352886084;0,0059114544815033
"14";-499;"Stored XSS";0,00301727746061509;0,00179557360734262
"15";-498;"XSS through DOM";0,761314328611213;0,453014746398083
"16";-498;"Unsafe jQuery plugin";0,556751385354612;0,33129100315673
"17";-498;"HTML constructed from input";0,234901596016113;0,139776545572003
"18";-498;"XSS";0,0935704678426639;0,0556784499740335
"19";-498;"Reflected XSS";0,0210529090032373;0,0125273856994671
"20";-498;"XSS through Exception";0,00994284131640279;0,00591641792115385
"21";-498;"Stored XSS";0,00301734721780427;0,00179545127853046
"22";-497;"XSS through DOM";0,761418927621832;0,453022766413759
"23";-497;"Unsafe jQuery plugin";0,556786170982345;0,331272053174678
"24";-497;"HTML constructed from input";0,23491156524412;0,139765749561629
"25";-497;"XSS";0,0935896970893121;0,0556832276492653
"26";-497;"Reflected XSS";0,0210761482726932;0,0125397132241821
"27";-497;"XSS through Exception";0,00995208910394475;0,00592121206068112
"28";-497;"Stored XSS";0,00301741697499344;0,00179527791580495
"29";-496;"XSS through DOM";0,76152352663245;0,453030183723837
"30";-496;"Unsafe jQuery plugin";0,556823185807209;0,331253994585626
"31";-496;"HTML constructed from input";0,234921534472127;0,139754770799038
"32";-496;"XSS";0,0936089263359604;0,055687930330535
"33";-496;"Reflected XSS";0,0210993875421491;0,0125520211528458
"34";-496;"XSS through Exception";0,0099613368914867;0,00592599719412655
"35";-496;"Stored XSS";0,00301748673218262;0,00179510221399203
"36";-495;"XSS through DOM";0,761626941884707;0,453039849814862
"37";-495;"Unsafe jQuery plugin";0,556860200632074;0,331238100687381
"38";-495;"HTML constructed from input";0,234931503700135;0,139744706102059
"39";-495;"XSS";0,0936183748903999;0,055687177235753
"40";-495;"Reflected XSS";0,0211226268116051;0,0125644080483087
"41";-495;"XSS through Exception";0,00997058467902865;0,00593081985043182
"42";-495;"Stored XSS";0,00301755648937179;0,00179493826120427
"43";-494;"XSS through DOM";0,761749889149933;0,453055867505835
"44";-494;"Unsafe jQuery plugin";0,556897215456939;0,331218362685927
"45";-494;"HTML constructed from input";0,234941472928142;0,139733020439741
"46";-494;"XSS";0,0936278234448395;0,0556857774154999
"47";-494;"Reflected XSS";0,021145866081061;0,0125766460067467
"48";-494;"XSS through Exception";0,00997983246657061;0,00593557244983741
"49";-494;"Stored XSS";0,00301762624656097;0,001794753496413
"50";-493;"XSS through DOM";0,76180586951355;0,453057116253554
"51";-493;"Unsafe jQuery plugin";0,556934230281803;0,331216949635065
"52";-493;"HTML constructed from input";0,234951442156149;0,139729066291981
"53";-493;"XSS";0,0936112293153201;0,0556719701170466
"54";-493;"Reflected XSS";0,0211691053505169;0,0125895772237841
"55";-493;"XSS through Exception";0,00998908025411256;0,00594065243530269
"56";-493;"Stored XSS";0,00301769600375015;0,00179466804326663
"57";-492;"XSS through DOM";0,761962300229581;0,453094981310886
"58";-492;"Unsafe jQuery plugin";0,556971245106668;0,331198637801726
"59";-492;"HTML constructed from input";0,234961411384157;0,13971798377401
"60";-492;"XSS";0,0935946351858006;0,0556553250305588
"61";-492;"Reflected XSS";0,0211776956102458;0,0125931526977658
"62";-492;"XSS through Exception";0,00999832804165452;0,00594542834443201
"63";-492;"Stored XSS";0,00301776576093932;0,00179449104062163
"64";-491;"XSS through DOM";0,762006781226255;0,453238525581117
"65";-491;"Unsafe jQuery plugin";0,556673425423488;0,33110708301455
"66";-491;"HTML constructed from input";0,234854188534349;0,139690313472751
"67";-491;"XSS";0,0935111975580536;0,0556200789162695
"68";-491;"Reflected XSS";0,0211779150072737;0,0125965374708771
"69";-491;"XSS through Exception";0,0100075758291965;0,00595246528668287
"70";-491;"Stored XSS";0,0030178355181285;0,00179499625775215
"71";-490;"XSS through DOM";0,762048218272856;0,453382385747261
"72";-490;"Unsafe jQuery plugin";0,556375605740308;0,331016979573592
"73";-490;"HTML constructed from input";0,234746965684541;0,139663261191275
"74";-490;"XSS";0,093423194005197;0,0555823497339895
"75";-490;"Reflected XSS";0,0211781344043015;0,0125999810401242
"76";-490;"XSS through Exception";0,0100168236167384;0,00595953284853726
"77";-490;"Stored XSS";0,00301790527531767;0,0017955098652207
"78";-489;"XSS through DOM";0,762093649963636;0,453527620707661
"79";-489;"Unsafe jQuery plugin";0,556084817581797;0,330930226543103
"80";-489;"HTML constructed from input";0,234632711310063;0,139631678213981
"81";-489;"XSS";0,0933351904523403;0,0555444686570556
"82";-489;"Reflected XSS";0,0211783538013294;0,0126033964598449
"83";-489;"XSS through Exception";0,0100260714042804;0,00596658994500921
"84";-489;"Stored XSS";0,00301797503250685;0,00179601947334592
"85";-488;"XSS through DOM";0,762705510030524;0,45368701911191
"86";-488;"Unsafe jQuery plugin";0,556379989812364;0,330956543189761
"87";-488;"HTML constructed from input";0,234562403964767;0,139526876954435
"88";-488;"XSS";0,0932471868994836;0,0554670678376308
"89";-488;"Reflected XSS";0,0211785731983572;0,0125978423087851
"90";-488;"XSS through Exception";0,0100353191918223;0,005969399709453
"91";-488;"Stored XSS";0,00301804478969603;0,00179525088802443
"92";-487;"XSS through DOM";0,763345397293246;0,453857202352983
"93";-487;"Unsafe jQuery plugin";0,556670754459349;0,330976032797886
"94";-487;"HTML constructed from input";0,23448973172583;0,13941900219607
"95";-487;"XSS";0,093159183346627;0,0553890368332779
"96";-487;"Reflected XSS";0,0211787925953851;0,0125921340334786
"97";-487;"XSS through Exception";0,0100445669793643;0,00597213146796525
"98";-487;"Stored XSS";0,0030181145468852;0,00179446031833993
"99";-486;"XSS through DOM";0,763881572330503;0,453993477459146
"100";-486;"Unsafe jQuery plugin";0,55696175974715;0,331015978495123
"101";-486;"HTML constructed from input";0,234417179807301;0,139319855972172
"102";-486;"XSS";0,0930711797937703;0,0553144755631277
"103";-486;"Reflected XSS";0,021179011992413;0,0125872041581655
"104";-486;"XSS through Exception";0,0100538147669062;0,00597522769639879
"105";-486;"Stored XSS";0,00301818430407438;0,0017937806558665
"106";-485;"XSS through DOM";0,764367522191554;0,454115613273603
"107";-485;"Unsafe jQuery plugin";0,557252765034952;0,331067416910527
"108";-485;"HTML constructed from input";0,234344627888771;0,139225635995055
"109";-485;"XSS";0,0929831762409136;0,0552418972246549
"110";-485;"Reflected XSS";0,0211792313894408;0,0125827162612872
"111";-485;"XSS through Exception";0,0100546916917471;0,00597355637348818
"112";-485;"Stored XSS";0,00301825406126355;0,00179316396138395
"113";-484;"XSS through DOM";0,764906487516379;0,454088513981741
"114";-484;"Unsafe jQuery plugin";0,557878604830797;0,331185930285889
"115";-484;"HTML constructed from input";0,23440600977346;0,139155672469232
"116";-484;"XSS";0,0930599325253486;0,0552452452179938
"117";-484;"Reflected XSS";0,0211627090610664;0,0125632914169287
